"competicao","quantidadeQuestoes","quantidadeSubmissoes","quantidadeSubmissoesCorretas","mediaAcertos","desempenho","desempenhoSemEasteregg","taxaSubmissoesCorretas"
"20180930",7,19,19,3.8000,54.2857,63.3333,100.0000
"20181122",8,102,61,3.3889,42.3611,48.4127,59.8039
"20181127",8,66,62,5.1667,64.5833,73.8095,93.9394
"20190430",8,50,36,3.2727,40.9091,46.7532,72.0000
"20191121",7,64,43,2.8667,40.9524,47.7778,67.1875
"20200701",6,74,50,5.0000,83.3333,100.0000,67.5676
"20210730",8,139,90,6.4286,80.3571,91.8367,64.7482
"20211203",8,105,66,2.5385,31.7308,36.2637,62.8571
"20220602",9,59,53,4.4167,49.0741,55.2083,89.8305
"20221011",9,96,58,2.9000,32.2222,36.2500,60.4167
"20231124",9,53,51,5.6667,62.9630,70.8333,96.2264
"20241125",9,76,59,5.9000,65.5556,73.7500,77.6316
